Frequency,Real part,Imaginary part,Magnitude,Angle
+3.637695E+04,+4.298420E-05,-4.647371E-05,-8.397132E+01,-8.243857E-01
+3.662109E+04,-4.397166E-05,+1.311263E-05,-8.676656E+01,+2.851782E+00
+3.686523E+04,+6.428190E-05,+2.804622E-04,-7.082016E+01,+1.345488E+00
+3.710938E+04,+1.121850E-04,-3.991316E-04,-6.764745E+01,-1.296793E+00
+3.735352E+04,-2.970980E-04,+4.066647E-05,-7.046139E+01,+3.005559E+00
+3.759766E+04,+1.531477E-04,+7.949599E-05,-7.526165E+01,+4.787951E-01
+3.784180E+04,+1.994670E-04,+2.407631E-05,-7.393976E+01,+1.201221E-01
+3.808594E+04,-3.266922E-04,+2.075852E-05,-6.969972E+01,+3.078136E+00
+3.833008E+04,+7.752240E-06,+1.656210E-04,-7.560818E+01,+1.524023E+00
+3.857422E+04,+3.385465E-04,-2.875987E-04,-6.704814E+01,-7.042097E-01
+3.881836E+04,-3.181129E-04,+4.477035E-05,-6.986320E+01,+3.001774E+00
+3.906250E+04,+1.240602E-04,+4.590600E-05,-7.757005E+01,+3.544063E-01
+3.930664E+04,+2.219213E-04,+1.366889E-04,-7.167920E+01,+5.520533E-01
+3.955078E+04,-3.080861E-04,-2.555022E-04,-6.795341E+01,-2.449227E+00
+3.979492E+04,+3.640742E-05,+1.465020E-04,-7.642287E+01,+1.327219E+00
+4.003906E+04,-5.805571E-05,+7.902875E-05,-8.017005E+01,+2.204378E+00
+4.028320E+04,+1.803508E-04,-1.137369E-04,-7.342347E+01,-5.626467E-01
+4.052734E+04,-1.320072E-04,+6.756421E-05,-7.657758E+01,+2.668532E+00
+4.077148E+04,+1.050651E-04,-1.413703E-04,-7.508298E+01,-9.316674E-01
+4.101562E+04,-5.301420E-05,+7.657602E-05,-8.061761E+01,+2.176341E+00
+4.125977E+04,+1.356400E-05,-9.790825E-06,-9.553087E+01,-6.252235E-01
+4.150391E+04,+2.771088E-05,+1.296662E-04,-7.754951E+01,+1.360254E+00
+4.174805E+04,-8.776248E-05,-1.982071E-04,-7.328010E+01,-1.987631E+00
+4.199219E+04,+5.137651E-05,+1.643108E-04,-7.528157E+01,+1.267748E+00
+4.223633E+04,-4.840693E-05,-1.142554E-04,-7.812549E+01,-1.971542E+00
+4.248047E+04,+7.391816E-05,+1.040733E-05,-8.253973E+01,+1.398759E-01
+4.272461E+04,-9.243473E-05,+1.689844E-05,-8.054052E+01,+2.960775E+00
+4.296875E+04,+1.300222E-04,-8.180516E-05,-7.627127E+01,-5.615874E-01
+4.321289E+04,-2.158989E-04,+2.605800E-04,-6.941141E+01,+2.262695E+00
+4.345703E+04,+2.602120E-04,-2.039921E-04,-6.961288E+01,-6.648748E-01
+4.370117E+04,-9.561352E-06,+2.854743E-05,-9.042692E+01,+1.893982E+00
+4.394531E+04,-1.695667E-04,+2.530117E-05,-7.531756E+01,+2.993475E+00
+4.418945E+04,-2.735848E-05,-2.706569E-05,-8.829433E+01,-2.361574E+00
+4.443359E+04,+1.872986E-04,+1.829177E-04,-7.164058E+01,+7.735655E-01
+4.467773E+04,+3.094843E-05,-2.881442E-04,-7.075799E+01,-1.463800E+00
+4.492188E+04,-1.695571E-04,+1.305035E-04,-7.339317E+01,+2.485619E+00
+4.516602E+04,+2.524249E-05,-1.489612E-04,-7.641558E+01,-1.402934E+00
+4.541016E+04,-2.026230E-05,+1.839094E-04,-7.465552E+01,+1.680529E+00
+4.565430E+04,-1.301630E-05,+1.132616E-04,-7.886137E+01,+1.685217E+00
+4.589844E+04,+5.121743E-05,-1.821118E-04,-7.446263E+01,-1.296637E+00
+4.614258E+04,+8.396428E-05,-9.280922E-06,-8.146537E+01,-1.100873E-01
+4.638672E+04,-1.403231E-04,-8.942447E-05,-7.557719E+01,-2.574214E+00
+4.663086E+04,+1.327855E-04,+2.451913E-04,-7.109296E+01,+1.074457E+00
+4.687500E+04,-1.301096E-04,-1.460698E-04,-7.417200E+01,-2.298470E+00
+4.711914E+04,+2.009604E-04,+8.754776E-05,-7.318310E+01,+4.108540E-01
+4.736328E+04,-1.220341E-04,-1.110185E-04,-7.565153E+01,-2.403426E+00
+4.760742E+04,-6.142745E-05,+1.819135E-04,-7.433376E+01,+1.896448E+00
+4.785156E+04,-1.334354E-04,-2.483930E-04,-7.099611E+01,-2.063755E+00
